Rank,Year_of_Rank,Award_Category,Name,Park,Location,Supplier,Year_Built
1,2022,Steel,Fury 325,Carowinds,"Charlotte, North Carolina",B&M,2015
2,2022,Steel,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain Const.,2018
3,2022,Steel,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000
4,2022,Steel,Iron Gwazi,Busch Gardens Tampa,"Tampa, Florida",Rocky Mountain Const.,2022
5,2022,Steel,Jurassic World VelociCoaster,Universal's Islands of Adventure,"Orlando, Florida",Intamin,2021
6,2022,Steel,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001
7,2022,Steel,Superman The Ride,Six Flags New England,"Agawam, Massachusetts",Intamin,2000
8,2022,Steel,Apollo's Chariot,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1999
9,2022,Steel,Intimidator 305,Kings Dominion,"Doswell, Virginia",Intamin,2010
10,2022,Steel,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007
11,2022,Steel,Lightning Rod,Dollywood,"Pigeon Forge, Tennessee",Rocky Mountain Const.,2016
12,2022,Steel,Taron,Phantasialand,"Brühl, Germany",Intamin,2016
13,2022,Steel,Phantom's Revenge,Kennywood,"West Mifflin, Pennsylvania",Morgan/Arrow,2001
14,2022,Steel,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain Const.,2013
15,2022,Steel,Leviathan,Canada's Wonderland,"Vaughan, Ontario, Canada",B&M,2012
16,2022,Steel,Mako,SeaWorld Orlando,"Orlando, Florida",B&M,2016
17,2022,Steel,Diamondback,Kings Island,"Mason, Ohio",B&M,2009
18,2022,Steel,Twisted Colossus,Six Flags Magic Mountain,"Valencia, California",Rocky Mountain Const.,2015
19,2022,Steel,Candymonium,Hersheypark,"Hershey, Pennsylvania",B&M,2020
20,2022,Steel,Orion,Kings Island,"Mason, Ohio",B&M,2020
21,2022,Steel,Nitro,Six Flags Great Adventure,"Jackson, New Jersey",B&M,2001
22,2022,Steel,Time Traveler,Silver Dollar City,"Branson, Missouri",Mack,2018
23,2022,Steel,Skyrush,Hersheypark,"Hershey, Pennsylvania",Intamin,2012
24,2022,Steel,Hagrid’s Magical Creatures Motorbike Adventure,Universal's Islands of Adventure,"Orlando, Florida",Intamin,2019
25,2022,Steel,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989
26,2022,Steel,Zadra,Energylandia,"Zator, Poland",Rocky Mountain Const.,2019
27,2022,Steel,Intimidator,Carowinds,"Charlotte, North Carolina",B&M,2010
28,2022,Steel,Mindbender,Six Flags Over Georgia,"Austell, Georgia",Schwarzkopf,1978
29,2022,Steel,Montu,Busch Gardens Tampa,"Tampa, Florida",B&M,1996
30,2022,Steel,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014
31,2022,Steel,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994
32,2022,Steel,X2,Six Flags Magic Mountain,"Valencia, California",Arrow,2001
33,2022,Steel,Blue Fire Megacoaster,Europa-Park,"Rust, Germany",Mack,2009
34,2022,Steel,Behemoth,Canada's Wonderland,"Vaughan, Ontario, Canada",B&M,2008
35,2022,Steel,Steel Curtain,Kennywood,"West Mifflin, Pennsylvania",S&S,2019
36,2022,Steel,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1997
36,2022,Steel,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1997
37,2022,Steel,Banshee,Kings Island,"Mason, Ohio",B&M,2014
38,2022,Steel,Raging Bull,Six Flags Great America,"Gurnee, Illinois",B&M,1999
39,2022,Steel,Ride to Happiness,Plopsaland De Panne,"De Panne, Belgium",Mack,2021
40,2022,Steel,Twisted Timbers,Kings Dominion,"Doswell, Virginia",Rocky Mountain Const.,2018
41,2022,Steel,Goliath,Six Flags Over Georgia,"Austell, Georgia",B&M,2006
42,2022,Steel,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain Const.,2011
43,2022,Steel,Pantheon,Busch Gardens Williamsburg,"Williamsburg, Virginia",Intamin,2022
44,2022,Steel,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006
45,2022,Steel,Wicked Cyclone,Six Flags New England,"Agawam, Massachusetts",Rocky Mountain Const.,2015
46,2022,Steel,Steel Dragon 2000,Nagashima Spa Land,"Kuwana, Japan",Morgan,2000
47,2022,Steel,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978
48,2022,Steel,Jetline,Gröna Lund,"Stockholm, Sweden",Schwarzkopf,1988
49,2022,Steel,Shambhala,PortAventura,"Salou, Spain",B&M,2012
50,2022,Steel,Whizzer,Six Flags Great America,"Gurnee, Illinois",Schwarzkopf,1976
1,2021,Steel,Fury 325,Carowinds,"Charlotte, North Carolina",B&M,2015
2,2021,Steel,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000
3,2021,Steel,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018
4,2021,Steel,Superman The Ride,Six Flags New England,"Agawam, Massachusetts",Intamin,2000
5,2021,Steel,Candymonium,Hersheypark,"Hershey, Pennsylvania",B&M,2020
6,2021,Steel,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001
7,2021,Steel,Lightning Rod,Dollywood,"Pigeon Forge, Tennessee",Rocky Mountain,2016
8,2021,Steel,Leviathan,Canada's Wonderland,"Vaughan, Ontario, Canada",B&M,2012
8,2021,Steel,Leviathan,Canada's Wonderland,"Vaughan, Ontario, Canada",B&M,2012
9,2021,Steel,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007
10,2021,Steel,Taron,Phantasialand,"Brühl, Germany",Intamin,2016
11,2021,Steel,Apollo's Chariot,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1999
12,2021,Steel,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain,2013
13,2021,Steel,Intimidator 305,Kings Dominion,"Doswell, Virginia",Intamin,2010
14,2021,Steel,Nitro,Six Flags Great Adventure,"Jackson, New Jersey",B&M,2001
15,2021,Steel,Phantom's Revenge,Kennywood,"West Mifflin, Pennsylvania",Morgan/Arrow,2001
16,2021,Steel,Twisted Colossus,Six Flags Magic Mountain,"Valencia, California",Rocky Mountain,2015
17,2021,Steel,Mako,SeaWorld Orlando,"Orlando, Florida",B&M,2016
18,2021,Steel,Jurassic World VelociCoaster,Universal's Islands of Adventure,"Orlando, Florida",Intamin,2021
19,2021,Steel,Diamondback,Kings Island,"Mason, Ohio",B&M,2009
