Rank,Year_of_Rank,Award_Category,Name,Park,Location,Supplier,Year_Built
1,2022,Wooden,Phoenix,Knoebels Amusement Resort,"Elysburg, Pennsylvania",Dinn-PTC/Shmeck,1985
2,2022,Wooden,Voyage,Holiday World,"Santa Claus, Indiana",The Gravity Group,2006
3,2022,Wooden,El Toro,Six Flags Great Adventure,"Jackson, New Jersey",Intamin,2006
4,2022,Wooden,Boulder Dash,Lake Compounce,"Bristol, Connecticut",Custom Coasters Int.,2000
5,2022,Wooden,Beast,Kings Island,"Mason, Ohio",KECO,1979
6,2022,Wooden,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017
7,2022,Wooden,Ravine Flyer II,Waldameer,"Erie, Pennsylvania",The Gravity Group,2008
8,2022,Wooden,GhostRider,Knott's Berry Farm,"Buena Park, California",Custom Coasters/GCII,1998
9,2022,Wooden,Outlaw Run,Silver Dollar City,"Branson, Missouri",Rocky Mountain Const.,2013
10,2022,Wooden,Thunderhead,Dollywood,"Pigeon Forge, Tennessee",Great Coasters Int.,2004
11,2022,Wooden,Gold Striker,California's Great America,"Santa Clara, California",Great Coasters Int.,2013
12,2022,Wooden,Jack Rabbit,Kennywood,"West Mifflin, Pennsylvania",Miller,1920
13,2022,Wooden,Wodan,Europa-Park,"Rust, Germany",Great Coasters Int.,2012
14,2022,Wooden,Lightning Racer,Hersheypark,"Hershey, Pennsylvania",Great Coasters Int.,2000
15,2022,Wooden,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain Const.,2016
16,2022,Wooden,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007
17,2022,Wooden,Cyclone,Coney Island,"Brooklyn, New York",Baker/Keenan,1927
18,2022,Wooden,Balder,Liseberg,"Gothenberg, Sweden",Intamin,2003
19,2022,Wooden,Shivering Timbers,Michigan's Adventure,"Muskegon, Michigan",Custom Coasters Int.,1998
20,2022,Wooden,Thunderbolt,Kennywood,"West Mifflin, Pennsylvania",Vettel/Miller,1968
21,2022,Wooden,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",The Gravity Group/M&V,2007
22,2022,Wooden,Legend,Holiday World,"Santa Claus, Indiana",Custom Coasters Int.,2000
23,2022,Wooden,Comet,Six Flags Great Escape,"Queensbury, New York",PTC/Schmeck,1994
